#,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1_1_1,5.0,5.0,5.0,5.0,5.0,5.0,4.0
1_1_2,5.0,5.0,5.0,5.0,5.0,5.0,4.0
1_1_3,1.0,5.0,5.0,5.0,5.0,5.0,2.0
1_1_4,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1_1_5,5.0,5.0,1.0,1.0,5.0,5.0,3.0
1_1_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1_2_1,5.0,4.0,1.0,1.0,5.0,5.0,3.0
1_2_2,2.0,5.0,1.0,1.0,5.0,1.0,1.0
1_2_3,4.0,4.0,2.0,2.0,5.0,3.0,4.0
1_2_4,5.0,5.0,2.0,2.0,5.0,5.0,5.0
1_2_5,3.0,2.0,1.0,1.0,5.0,5.0,3.0
1_2_6,5.0,5.0,5.0,4.0,5.0,5.0,4.0
1_3_1,5.0,5.0,1.0,1.0,5.0,5.0,4.0
1_3_2,2.0,5.0,1.0,1.0,1.0,1.0,2.0
1_3_3,5.0,5.0,1.0,1.0,5.0,5.0,4.0
1_3_4,4.0,5.0,1.0,1.0,5.0,4.0,4.0
1_3_5,1.0,4.0,1.0,1.0,5.0,3.0,1.0
1_3_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1_4_1,2.0,5.0,1.0,1.0,5.0,5.0,4.0
1_4_2,1.0,5.0,1.0,1.0,5.0,1.0,3.0
1_4_3,1.0,5.0,1.0,1.0,5.0,1.0,1.0
1_4_4,1.0,5.0,1.0,1.0,5.0,1.0,3.0
1_4_5,1.0,5.0,1.0,1.0,5.0,1.0,3.0
1_4_6,2.0,5.0,1.0,1.0,5.0,2.0,2.0
1_5_1,2.0,5.0,1.0,1.0,5.0,1.0,4.0
1_5_2,1.0,5.0,1.0,1.0,4.0,1.0,4.0
1_5_3,1.0,2.0,1.0,1.0,1.0,1.0,3.0
1_5_4,1.0,5.0,1.0,1.0,5.0,1.0,3.0
1_5_5,1.0,5.0,1.0,1.0,5.0,1.0,1.0
1_5_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2_1_1,3.0,5.0,5.0,5.0,5.0,5.0,4.0
2_1_2,2.0,5.0,5.0,5.0,4.0,5.0,2.0
2_1_3,3.0,5.0,5.0,5.0,2.0,2.0,2.0
2_1_4,4.0,5.0,5.0,5.0,5.0,5.0,5.0
2_1_5,1.0,5.0,1.0,1.0,1.0,2.0,1.0
2_1_6,4.0,5.0,5.0,5.0,5.0,5.0,5.0
2_2_1,4.0,5.0,3.0,4.0,3.0,4.0,3.0
2_2_2,2.0,5.0,3.0,5.0,5.0,3.0,3.0
2_2_3,1.0,5.0,5.0,4.0,4.0,1.0,1.0
2_2_4,2.0,4.0,5.0,5.0,5.0,5.0,3.0
2_2_5,2.0,3.0,2.0,4.0,3.0,4.0,3.0
2_2_6,5.0,5.0,5.0,5.0,5.0,4.0,5.0
2_3_1,4.0,5.0,4.0,4.0,3.0,4.0,4.0
2_3_2,1.0,5.0,2.0,2.0,2.0,1.0,1.0
2_3_3,3.0,5.0,3.0,4.0,3.0,4.0,3.0
2_3_4,2.0,5.0,4.0,2.0,1.0,1.0,1.0
2_3_5,1.0,3.0,2.0,2.0,1.0,1.0,1.0
2_3_6,4.0,5.0,5.0,5.0,4.0,5.0,5.0
2_4_1,3.0,5.0,3.0,3.0,4.0,3.0,3.0
2_4_2,2.0,4.0,4.0,4.0,2.0,2.0,2.0
2_4_3,3.0,5.0,5.0,5.0,3.0,2.0,3.0
2_4_4,2.0,3.0,5.0,5.0,4.0,3.0,2.0
2_4_5,2.0,4.0,3.0,3.0,1.0,1.0,1.0
2_4_6,4.0,4.0,5.0,5.0,4.0,4.0,3.0
2_5_1,1.0,5.0,1.0,1.0,1.0,1.0,1.0
2_5_2,1.0,5.0,1.0,1.0,1.0,1.0,1.0
2_5_3,1.0,5.0,1.0,1.0,1.0,1.0,1.0
2_5_4,2.0,5.0,1.0,1.0,1.0,1.0,1.0
2_5_5,4.0,5.0,1.0,1.0,1.0,1.0,1.0
2_5_6,4.0,5.0,4.0,4.0,2.0,4.0,3.0
3_1_1,4.0,4.0,5.0,5.0,5.0,5.0,4.0
3_1_2,4.0,2.0,5.0,3.0,5.0,5.0,4.0
3_1_3,4.0,4.0,4.0,4.0,5.0,5.0,4.0
