#Interface	Orientation	Order	Density	Dbasic	Dlayout	Difficulty	Like	Similar	Elements	sim_E	sim_H	sim_R	sim_E2	sim_H2	sim_R2	SIGMA	SIGMA_N5	SIGMA_N4
1	0.125	0	0.083333333	0.069444444	0.100057015	1.714285714	3.428571429	4	14	0.849768697	0.849768697	0.857142857	0.908771311	0.899916667	0.899916667	4	0.8	0.933333333
1	0.625	0.166666667	0.416666667	0.402777778	0.527302547	2	2.571428571	2.857142857	14	0.230575612	0.230575612	0.428571429	0.543058165	0.472583333	0.472583333	2.857142857	0.571428571	0.666666667
1	0	0.166666667	0.25	0.138888889	0.055096757	2	3.571428571	4.285714286	14	0.699537394	0.699537394	0.785714286	0.961102699	0.945	0.945	4.285714286	0.857142857	1
1	0.125	0	0.166666667	0.097222222	0.109416777	1.571428571	2.571428571	3.714285714	14	0.791666667	0.791666667	0.785714286	0.907350084	0.890583333	0.890583333	3.714285714	0.742857143	0.866666667
2	0	0	0.158730159	0.052910053	0.017828117	1.857142857	3.285714286	4.142857143	33	0.841269841	0.841269841	0.939393939	0.982222222	0.982222222	0.982222222	4.142857143	0.828571429	0.966666667
2	0.333333333	0	0.603174603	0.312169312	0.309606188	2.142857143	2	3	33	0.31084783	0.31084783	0.818181818	0.748747631	0.690444444	0.690444444	3	0.6	0.7
2	0	0.333333333	0.158730159	0.164021164	0.071863062	1.714285714	3.714285714	3.285714286	33	0.630803068	0.630803068	0.848484848	0.943148884	0.928222222	0.928222222	3.285714286	0.657142857	0.766666667
2	0.083333333	0	0.603174603	0.228835979	0.128211681	1.857142857	3.142857143	3.571428571	33	0.391096029	0.391096029	0.848484848	0.909313711	0.871944444	0.871944444	3.571428571	0.714285714	0.833333333
3	0	0	0.333333333	0.111111111	0.037439046	2.142857143	3.142857143	3.714285714	59	0.666666667	0.666666667	0.983050847	0.962666667	0.962666667	0.962666667	3.714285714	0.742857143	0.866666667
3	0.416666667	0	0.333333333	0.25	0.339763224	2.857142857	2	2.714285714	59	0.466406314	0.466406314	0.93220339	0.695204941	0.660166667	0.660166667	2.714285714	0.542857143	0.633333333
3	0	0.357142857	0.333333333	0.23015873	0.09533363	2.142857143	3	4	59	0.511469416	0.511469416	0.508474576	0.931143433	0.904809524	0.904809524	4	0.8	0.933333333
3	0	0	0.555555556	0.185185185	0.062398411	1.285714286	3.571428571	4.142857143	59	0.444444444	0.444444444	0.949152542	0.937777778	0.937777778	0.937777778	4.142857143	0.828571429	0.966666667
